# Irregular inflections: one 'form lemma' pair per line, from Princeton WordNet 3.0
# (verb.exc / noun.exc / adj.exc / adv.exc), pruned to entries whose lemma exists in
# wordlist/known_words.txt. Regular forms are handled by rules in WordMorphology.kt.
thrown throw
tidied tidy
tidier tidy
tidiest tidy
timelier timely
timeliest timely
tinier tiny
tiniest tiny
tinned tin
tinning tin
tipped tip
tipping tip
tobaccoes tobacco
told tell
tomatoes tomato
took take
topped top
topping top
tore tear
torn tear
tornadoes tornado
totalled total
totalling total
towelled towel
towelling towel
trafficked traffic
trafficking traffic
trammed tram
tramming tram
transferred transfer
transferring transfer
transmitted transmit
transmitting transmit
trapped trap
trapping trap
traumata trauma
travelled travel
travelling travel
trekked trek
trekking trek
trickier tricky
trickiest tricky
tried try
trimmed trim
trimmer trim
trimmest trim
trimming trim
tripped trip
tripping trip
trod tread
trodden tread
truer true
truest true
tugged tug
tugging tug
tunnelled tunnel
tunnelling tunnel
twinned twin
twinning twin
tying tie
uglier ugly
ugliest ugly
undergone undergo
underlain underlie
underlay underlie
underlying underlie
understood understand
undertaken undertake
undertook undertake
underwent undergo
undid undo
undone undo
unfitted unfit
unfitting unfit
unfriendlier unfriendly
unfriendliest unfriendly
unhappier unhappy
unhappiest unhappy
unhealthier unhealthy
unhealthiest unhealthy
unified unify
upheld uphold
upped up
upping up
upsetting upset
vacua vacuum
varied vary
verified verify
vetoes veto
volcanoes volcano
wagged wag
wagging wag
warier wary
wariest wary
warred war
warring war
was be
wavier wavy
waviest wavy
wealthier wealthy
wealthiest wealthy
wearied weary
wearier weary
weariest weary
webbed web
webbing web
wedded wed
wedding wed
went go
wept weep
were be
wetted wet
wetter wet
wettest wet
wetting wet
wharves wharf
whipped whip
whipping whip
windier windy
windiest windy
winning win
withdrawn withdraw
withdrew withdraw
withheld withhold
withstood withstand
wittier witty
wittiest witty
wives wife
woke wake
woken wake
wolves wolf
won win
wore wear
worn wear
worried worry
worse bad
worshipped worship
worshipping worship
worst bad
worthier worthy
worthiest worthy
wound wind
wove weave
woven weave
wrapped wrap
wrapping wrap
written write
wrote write
wrought work
younger young
youngest young
yourselves yourself
yummier yummy
yummiest yummy
zeroes zero
zigzagged zigzag
zigzagging zigzag
zipped zip
zipping zip
